Seed,DilutionRate,Species_ID,CUE,C_final
50,0.001,81,0.23856855964344095,0.22725955123382735
50,0.001,82,0.24587102021563084,0.048739513474870585
50,0.001,83,0.16293466024637127,3.512324216008495e-11
50,0.001,84,0.059637608982593966,1.7178864776332068e-22
50,0.001,85,0.1742537918992415,2.3914288604529872e-11
50,0.001,86,0.24215737767530116,0.03220385763922007
50,0.001,87,0.22486861952866433,0.0019222973483248296
50,0.001,88,0.11345623275018651,1.1250623984079075e-16
50,0.001,89,0.22032964883292983,0.008594989541577565
50,0.001,90,0.1277009919975468,2.1263920404302416e-14
50,0.001,91,0.2069352711680634,4.170183537703684e-06
50,0.001,92,0.11032846084500171,1.8541956457189427e-17
50,0.001,93,0.1370500050253454,1.595516102535501e-17
50,0.001,94,0.21164876035593255,6.180845388712366e-05
50,0.001,95,0.16110931211113452,9.999423231266525e-12
50,0.001,96,0.10790875240799447,3.0537328042361224e-17
50,0.001,97,0.10382758122718248,3.659950752180812e-21
50,0.001,98,0.22167364340391296,9.857463643451237e-05
50,0.001,99,0.14580754518317873,7.92246516056905e-14
50,0.001,100,0.1191947724286841,1.6195659755394842e-16
51,0.001,1,0.2334583394793854,0.1117478769652574
51,0.001,2,0.11856830780285696,3.514649128166804e-17
51,0.001,3,0.09504546165042314,1.7773533300529085e-19
51,0.001,4,0.027347960339840285,3.562177643741785e-24
51,0.001,5,0.16260960736156482,1.325126487804192e-11
51,0.001,6,0.12127449203169803,2.982488178181052e-17
51,0.001,7,0.13466147435598164,8.033221462713267e-14
51,0.001,8,0.12769179068065,9.120314492941413e-16
51,0.001,9,0.07101740451086834,4.0130232828723916e-23
51,0.001,10,0.06650696197023845,9.761535350427387e-22
51,0.001,11,0.1637774353405417,1.0498180706867678e-11
51,0.001,12,0.09748638137519315,4.587090209698299e-18
51,0.001,13,0.1643697828265258,1.809003160577902e-11
51,0.001,14,0.20664476499183465,9.244554062268191e-07
51,0.001,15,0.0997641678231689,5.442663407926097e-18
51,0.001,16,0.24639902709599387,5.870473679236269
51,0.001,17,0.15331111554366844,2.209177472257852e-13
51,0.001,18,0.07480308134247549,5.0053936735773076e-21
51,0.001,19,0.17436016240440932,8.256353958183051e-10
51,0.001,20,0.12606329026168406,1.3800098225569418e-17
51,0.001,21,0.1306622351554325,1.0802174370485612e-14
51,0.001,22,0.2040833964696186,1.3488056329932535e-05
51,0.001,23,0.13444255600887303,1.2662541577720121e-15
51,0.001,24,0.14157331126055295,1.1858467896266795e-13
51,0.001,25,0.25616674645907783,18.969848291590523
51,0.001,26,0.07859905448194873,9.660676044681677e-21
51,0.001,27,0.044563580697454704,1.1594919002115426e-25
51,0.001,28,0.1463292193896983,3.0005869954372517e-12
51,0.001,29,0.1524912799221641,5.832229865494232e-13
51,0.001,30,0.12903305134312576,1.2982489898081323e-14
51,0.001,31,0.13714539788627586,4.705942454831706e-16
51,0.001,32,0.09337242690820394,2.3227187629365128e-20
51,0.001,33,0.13245610852260306,3.2229110363077665e-15
51,0.001,34,0.046189095421802856,1.4351994663111024e-23
51,0.001,35,0.18563193434575911,6.47385695694238e-09
51,0.001,36,0.07395560660281714,3.618212941435643e-21
51,0.001,37,0.19353214626413787,2.500492049858781e-07
51,0.001,38,0.19196596615650452,4.6219789968784905e-05
51,0.001,39,0.11308353296877334,1.7219615867683963e-16
51,0.001,40,0.1400503530435107,6.409230084991588e-16
51,0.001,41,-0.02384047169745638,2.4187135408513894e-30
51,0.001,42,0.09717781221994938,6.614875460432606e-20
51,0.001,43,0.029517886465930395,1.595889420875591e-24
51,0.001,44,0.1201998042917334,5.3620355617952866e-17
51,0.001,45,0.228678398542668,0.1137590687028329
51,0.001,46,0.17833678966562225,1.464734428775387e-07
51,0.001,47,0.12354695791800722,5.041460742051585e-16
51,0.001,48,0.2599431209997846,14.181062321967119
51,0.001,49,0.18136381180002398,3.62143984912262e-09
51,0.001,50,0.21076699840401358,4.5826253955924837e-05
51,0.001,51,0.2077726290697609,2.5922598682326057e-07
51,0.001,52,0.0953233063737399,7.813595914045545e-20
51,0.001,53,0.0619264789998181,3.424851237990363e-22
51,0.001,54,0.05541177355298847,5.033190162295529e-24
51,0.001,55,0.10082400346842281,1.635487671506621e-18
51,0.001,56,0.1437844727909629,4.195475918302984e-15
51,0.001,57,0.1832332552643036,2.778143608733784e-09
51,0.001,58,0.0589869358230524,1.0202518379843832e-22
51,0.001,59,0.12313441117817384,7.485820493768727e-17
51,0.001,60,0.16683021149386468,2.870808545773394e-12
51,0.001,61,0.18896316402854244,1.8243573279453513e-07
51,0.001,62,0.14047973847480483,8.916113246794027e-14
51,0.001,63,0.08532920346235316,2.145551482111612e-20
51,0.001,64,0.10340152944245776,8.807744975925894e-18
51,0.001,65,0.11009126816734355,5.309561717187971e-19
51,0.001,66,0.1951167333190465,2.9131491099087847e-07
51,0.001,67,0.10831439309419032,4.445316293855697e-20
51,0.001,68,0.13481914098597245,2.0784190317164252e-13
51,0.001,69,0.159944014272053,2.194912333466661e-13
51,0.001,70,0.1543239061734699,3.1577790603828152e-15
51,0.001,71,0.1485525073795992,1.4076029941184052e-11
51,0.001,72,0.2160428570968515,2.0200229160436513e-05
51,0.001,73,0.12808978645315927,8.776576388780202e-16
51,0.001,74,0.13783617794017905,1.7100084035731777e-15
51,0.001,75,0.13707244513684363,4.1041865707328016e-14
51,0.001,76,0.16072944844846312,5.384842868999548e-11
51,0.001,77,0.1905306785768014,7.015188389901474e-09
51,0.001,78,0.197192142929495,6.37760398636817e-07
51,0.001,79,0.16769748342240068,9.194460733199286e-12
51,0.001,80,0.06917253058949877,2.167192598887542e-23
51,0.001,81,0.27585594115516465,25.566893040661363
51,0.001,82,0.11327965331610837,4.383640617950751e-18
